Barcode NO.,Isc(A),Voc(V),Imp(A),Vmp(V),Pmax(W),Carton NO.,Pallet NO.,Cable Length,Connector,Country of Origin,Current Sorting
11702050151402,9.29,45.60,8.84,36.16,319.70,170520201648,1,1160mm,PV2b,CN,I3
11702050171079,9.26,45.54,8.84,36.11,319.10,170520201648,1,1160mm,PV2b,CN,I3
11702050170850,9.26,45.44,8.81,36.17,318.60,170520201648,1,1160mm,PV2b,CN,I3
11702050171411,9.25,45.52,8.80,36.23,318.70,170520201648,1,1160mm,PV2b,CN,I3
11702050171258,9.25,45.57,8.81,36.27,319.60,170520201648,1,1160mm,PV2b,CN,I3
11702050211888,9.28,45.53,8.77,36.43,319.50,170520201648,1,1160mm,PV2b,CN,I3
11702050210975,9.24,45.43,8.83,36.12,319.10,170520201648,1,1160mm,PV2b,CN,I3
11702050211295,9.24,45.46,8.84,36.14,319.70,170520201648,1,1160mm,PV2b,CN,I3
11702050211692,9.19,45.45,8.74,36.54,319.60,170520201648,1,1160mm,PV2b,CN,I3
11702050211781,9.22,45.60,8.81,36.30,319.80,170520201648,1,1160mm,PV2b,CN,I3
11702050211261,9.28,45.46,8.78,36.14,317.30,170520201648,1,1160mm,PV2b,CN,I3
11702050210970,9.18,45.50,8.81,36.31,320.00,170520201648,1,1160mm,PV2b,CN,I3
11702050210041,9.27,45.51,8.78,36.32,319.10,170520201648,1,1160mm,PV2b,CN,I3
11702050211294,9.19,45.46,8.79,36.36,319.70,170520201648,1,1160mm,PV2b,CN,I3
11702050211307,9.24,45.53,8.81,36.15,318.70,170520201648,1,1160mm,PV2b,CN,I3
11702050211769,9.21,45.59,8.79,36.38,319.80,170520201648,1,1160mm,PV2b,CN,I3
11702050211636,9.26,45.30,8.78,36.33,318.80,170520201648,1,1160mm,PV2b,CN,I3
11702050211750,9.25,45.50,8.79,36.40,319.90,170520201648,1,1160mm,PV2b,CN,I3
11702050210939,9.25,45.43,8.85,35.98,318.50,170520201648,1,1160mm,PV2b,CN,I3
11702050210050,9.27,45.62,8.81,36.31,319.80,170520201648,1,1160mm,PV2b,CN,I3
11702050211293,9.21,45.45,8.81,36.32,319.90,170520201648,1,1160mm,PV2b,CN,I3
11702050211763,9.17,45.34,8.74,36.27,316.90,170520201648,1,1160mm,PV2b,CN,I3
11702050211399,9.26,45.45,8.85,35.82,317.00,170520201648,1,1160mm,PV2b,CN,I3
11702050190970,9.23,45.55,8.78,36.35,319.30,170520201648,1,1160mm,PV2b,CN,I3
11702050250100,9.18,45.53,8.79,36.33,319.20,170520201648,1,1160mm,PV2b,CN,I3
11702050310155,9.30,45.55,8.82,36.26,320.00,170520201648,1,1160mm,PV2b,CN,I3
11702050151614,9.21,45.42,8.75,36.39,318.30,170520201802,2,1160mm,PV2b,CN,I3
11702050250094,9.26,45.53,8.80,36.29,319.40,170520201802,2,1160mm,PV2b,CN,I3
11702050210366,9.29,45.55,8.86,35.98,318.70,170520201802,2,1160mm,PV2b,CN,I3
11702050211855,9.26,45.47,8.82,36.05,318.20,170520201802,2,1160mm,PV2b,CN,I3
11702050211935,9.28,45.57,8.77,36.46,319.90,170520201802,2,1160mm,PV2b,CN,I3
11702050211842,9.23,45.55,8.83,36.16,319.30,170520201802,2,1160mm,PV2b,CN,I3
11702050211354,9.35,45.51,8.79,36.31,319.20,170520201802,2,1160mm,PV2b,CN,I3
11702050211930,9.22,45.58,8.84,36.01,318.30,170520201802,2,1160mm,PV2b,CN,I3
11702050210368,9.27,45.53,8.83,36.20,319.50,170520201802,2,1160mm,PV2b,CN,I3
11702050210493,9.18,45.41,8.79,36.24,318.70,170520201802,2,1160mm,PV2b,CN,I3
11702050211778,9.27,45.54,8.77,36.34,318.80,170520201802,2,1160mm,PV2b,CN,I3
11702050211402,9.22,45.41,8.85,36.10,319.50,170520201802,2,1160mm,PV2b,CN,I3
11702050230041,9.28,45.57,8.71,36.55,318.30,170520201802,2,1160mm,PV2b,CN,I3
11702050171251,9.32,45.41,8.78,36.33,319.00,170520201802,2,1160mm,PV2b,CN,I3
11702050170972,9.21,45.48,8.80,36.02,316.80,170520201802,2,1160mm,PV2b,CN,I3
11702050171677,9.17,45.49,8.74,36.44,318.40,170520201802,2,1160mm,PV2b,CN,I3
11702050170346,9.31,45.58,8.83,36.19,319.40,170520201802,2,1160mm,PV2b,CN,I3
11702050171645,9.19,45.46,8.74,36.55,319.50,170520201802,2,1160mm,PV2b,CN,I3
11702050171305,9.17,45.46,8.78,36.14,317.40,170520201802,2,1160mm,PV2b,CN,I3
11702050170846,9.19,45.35,8.73,36.32,317.10,170520201802,2,1160mm,PV2b,CN,I3
11702050171534,9.15,45.46,8.75,36.23,316.90,170520201802,2,1160mm,PV2b,CN,I3
11702050171051,9.31,45.46,8.80,36.05,317.30,170520201802,2,1160mm,PV2b,CN,I3
11702050170847,9.24,45.44,8.83,36.03,318.00,170520201802,2,1160mm,PV2b,CN,I3
11702050171136,9.31,45.53,8.85,36.06,319.10,170520201802,2,1160mm,PV2b,CN,I3
11702050170257,9.21,45.42,8.79,36.33,319.50,170520201802,2,1160mm,PV2b,CN,I3
